번호,개방자치단체코드,인허가일자,소재지전체주소,사업장명
58,4490000,2004.3.26,충청남도 천안시 서북구 성정동 1123번지 탑존빌딩102호,도끄메리쫑 동물병원
59,4490000,2004.6.25,충청남도 천안시 서북구 부대동 139-11 번지,대원동물병원
60,4610000,2011.10.6,충청남도 예산군 예산읍 산성리 304-16번지,닥터차동물병원
61,4610000,2012.8.30,충청남도 예산군 고덕면 대천리 770-13번지,예당가축병원
62,4610000,2013.3.19,충청남도 예산군 예산읍 산성리 682-1번지 샤인하우스 206호,푸른동물병원
63,4610000,2015.9.15,,LG동물병원
64,4610000,2016.1.25,충청남도 예산군 고덕면 대천리 778번지,한울산업동물병원
65,4610000,2016.7.26,충청남도 예산군 고덕면 대천리 778번지,한울산업동물병원
66,4610000,2017.5.4,충청남도 예산군 고덕면 대천리 728-18,윤동물병원·약품(출장진료전문)
67,4490000,2013.5.3,충청남도 천안시 동남구 신부동 388-2번지 천광빌딩 나동 101호,열린동물병원
68,4490000,2015.1.9,충청남도 천안시 동남구 삼룡동 140-3,서일가축병원
69,4490000,2015.7.17,충청남도 천안시 동남구 쌍용동 555-2번지 쌍용신성아파트,건국동물병원(산업동물에 대한 출장진료를 전문으로 함)
70,4490000,2015.8.7,충청남도 천안시 동남구 신부동 88-3번지,88동물의료원
71,4490000,2016.1.14,충청남도 천안시 동남구 신부동 88-3번지,88동물의료원천안아산동물병원
72,4490000,1976.2.13,충청남도 천안시 서북구 성환읍 성환리 449-68번지,송
73,4490000,1980.7.25,충청남도 천안시 동남구 영성동 118번지,천안
74,4490000,1983.5.14,충청남도 천안시 동남구 봉명동 368번지,서부종합
75,4490000,2016.9.20,충청남도 천안시 동남구 목천읍 운전리 368-17,S&amp;P Bio
76,4490000,2009.4.2,충청남도 천안시 서북구 성성동 366번지 108호,마일스톤 피그 클리닉
77,4490000,2009.8.14,충청남도 천안시 서북구 성환읍 매주리 322번지,천성벳동물병원
78,4490000,1992.5.21,충청남도 천안시 동남구 봉명동 39-21번지,정동물병원
79,4490000,1995.2.8,충청남도 천안시 동남구 병천면 병천리 191-1번지,전종한동물병원
80,4490000,1995.11.21,충청남도 천안시 동남구 원성동 518-13번지,신천안
81,4490000,2012.4.3,충청남도 천안시 서북구 불당동 1289번지 펜타포트 지하1층 이마트,쿨펫동물병원
82,4400000,2005.9.30,충청북도 제천시 영천동 500번지,PETRIA 애견종합동물병원
83,4400000,2009.9.30,충청북도 제천시 중앙로2가 69-9번지,제천종합동물병원
84,4400000,2009.12.23,충청북도 제천시 강제동 684번지 이마트 3층,펫프렌즈동물병원 제천
85,4400000,2010.11.2,충청북도 제천시 하소동 72-5   번지 (롯데마트 2층),쿨펫동물병원
86,4470000,1992.10.9,충청북도 음성군 금왕읍 무극리 244-3번지,무극동물병원
87,4470000,1995.5.16,충청북도 음성군 대소면 오류리 1-12번지,(주)팜스코 축산기술센타
88,4470000,2003.8.19,충청북도 음성군 금왕읍 무극리 249-5번지,본 동물병원
89,4470000,2007.2.13,충청북도 음성군 대소면 오류리 605-18번지 음성IC 타운 106호,청림한별동물병원
90,4470000,2009.4.22,충청북도 음성군 금왕읍 백야리 산 13번지,음성군 야생동물구조관리사업소
91,4470000,2016.4.8,충청북도 음성군 감곡면 원당리 191-3번지,한길동물병원 (출장진료전문병원)
92,4470000,2013.3.7,충청북도 음성군 금왕읍 무극리 356-12번지,테오종합동물병원
93,4470000,2016.2.18,충청북도 음성군 금왕읍 무극리 356-12번지,테오동물병원
94,4470000,2011.6.16,충청북도 음성군 금왕읍 백야리 산 13번지,충북야생동물센터
95,4400000,1980.7.3,충청북도 제천시 화산동 193-14  번지,협신동물병원
96,4400000,1980.7.3,충청북도 제천시 명동 11-9번지,한일동물병원
97,4400000,1991.4.30,충청북도 제천시 청전동 700번지 54통2반,현대동물병원
98,4400000,1996.9.12,충청북도 제천시 청전동 13-8 번지,나라동물병원
99,4400000,1997.10.17,충청북도 제천시 중앙로2가 81-9   번지,화랑동물병원
100,3070000,2000.9.5,서울특별시 성북구 동소문동3가 32번지,베스트종합동물병원
101,3070000,2001.2.3,서울특별시 성북구 정릉동 1393-0   번지,북악동물병원
102,3070000,2001.5.14,서울특별시 성북구 종암동 68-1   번지,청솔동물병원
103,3070000,2001.5.25,서울특별시 성북구 길음동 525-175번지,펫케어동물병원
104,3110000,2015.2.26,서울특별시 은평구 수색동 75번지 수색자이 1단지 107호,조은동물병원
105,3110000,2015.3.27,서울특별시 은평구 증산동 162-20번지 102호,아리동물병원
106,3110000,2015.5.26,서울특별시 은평구 응암동 194-25,스머프동물병원
107,3210000,2009.7.31,서울특별시 서초구 방배동 951-3번지 대진빌딩1층,화인종합동물병원
108,3110000,2000.8.2,서울특별시 은평구 증산동 168-2   번지,신동물병원
109,3110000,2001.11.2,서울특별시 은평구 대조동 231번지 삼성타운 101-122,유종합동물병원
110,3110000,2002.5.28,서울특별시 은평구 대조동 179-16번지,은평동물병원
111,3210000,1995.5.11,서울특별시 서초구 반포동 747-12  번지,닥터은동물병원
112,3210000,2013.4.1,서울특별시 서초구 서초동 1648-9,강남서초 동물병원
113,3210000,2005.12.9,"서울특별시 서초구 서초동 1336번지 서초우성쇼핑센타120호,121호",우성메디펫동물병원
114,3210000,2004.4.1,서울특별시 서초구 잠원동 60-3번지 매일종합상가 223호,잠원동물병원
115,3140000,1994.7.7,서울특별시 양천구 신월동 512-7번지,신월동물병원
116,3140000,1994.8.12,서울특별시 양천구 신월동 64-1   번지,강성동물병원
117,3140000,1995.9.5,서울특별시 양천구 목동 783-2번지,하니동물병원
118,3140000,1995.4.25,서울특별시 양천구 신정동 995-4   번지,상아동물병원
119,3210000,2010.4.12,서울특별시 서초구 양재동 351-11 성원빌딩 1층,펫프렌즈동물병원양재
120,3210000,2004.4.9,서울특별시 서초구 서초동 1532-7번지 (지상1층),서울동물병원
121,3140000,2008.4.18,서울특별시 양천구 목동 919-7번지 홈에버 목동점 1층,닥터펫 동물병원
122,3140000,2008.8.22,서울특별시 양천구 신월동 512-7   번지,킴스동물병원
123,3140000,2008.10.21,서울특별시 양천구 목동 917-6 지하2층,행복한세상동물병원
124,3140000,2008.11.7,서울특별시 양천구 목동 506-7번지,대현동물병원
125,3140000,2009.2.18,서울특별시 양천구 신정동 898-2번지,리베 동물의료센터
126,3140000,2009.4.20,서울특별시 양천구 목동 962번지 트라팰리스 1층,쿨펫이마트목동점
127,3030000,2016.5.23,,동물병원소풍
128,3030000,2004.7.30,서울특별시 성동구 성수동2가 333-16번지 이마트성수점,로얄벳성수점동물병원
129,3030000,2003.6.10,서울특별시 성동구 응봉동 228-17  번지,내친구동물병원
130,3030000,2003.9.6,서울특별시 성동구 성수동2가 333-16  번지 이마트 성수점 3층,아이러브 팻 동물병원
131,3030000,2004.1.20,서울특별시 성동구 금호동2가 433번지,강아지나라동물병원
132,3030000,2004.3.10,서울특별시 성동구 금호동1가 172번지 외4필지,늘푸른동물병원
133,3210000,2003.7.5,서울특별시 서초구 서초동 1510-2번지,엔터펫 종합동물병원
134,3030000,2004.10.19,서울특별시 성동구 행당동 140번지 레몬프라자  116호,독스동물병원
135,3030000,2007.1.26,서울특별시 성동구 성수동2가 300-69  번지,성동동물종합병원
136,3140000,2006.9.27,서울특별시 양천구 목동 907번지 현대월드상가 101-1,행복동물병원
137,3140000,2007.2.12,서울특별시 양천구 목동 919-7번지 2층,닥터펫동물병원
138,3140000,2007.10.10,서울특별시 양천구 신정동 1007-10번지,우리들 동물메디컬 센터
139,3140000,2007.12.3,서울특별시 양천구 목동 917-6번지 행복한세상백화점 지하2층,쿨펫동물병원
140,3110000,2013.7.10,서울특별시 은평구 역촌동 14-22번지,역촌동물병원
141,3030000,2015.12.14,서울특별시 성동구 응봉동 100번지 308호,해치동물병원
142,3030000,2003.1.24,서울특별시 성동구 금호동1가 514번지,강아지나라동물병원
143,3030000,2003.1.24,서울특별시 성동구 금호동4가 1393번지,박종태종합동물병원
144,3030000,2003.1.24,서울특별시 성동구 행당동 346번지,성동동물병원
145,3030000,2003.1.24,서울특별시 성동구 성수동2가 336-1   번지,퍼스트펫동물병원
146,3030000,2003.1.24,서울특별시 성동구 옥수동 275-2번지 2층,생명사랑동물병원
147,3030000,2003.4.15,서울특별시 성동구 금호동2가 433번지,강아지나라동물병원
148,3030000,2003.4.15,서울특별시 성동구 성수동1가 656-565,성수동물병원
149,3030000,2003.5.31,서울특별시 성동구 마장동 791-2   번지,한사랑동물병원
150,3110000,2013.6.27,서울특별시 은평구 역촌동 43-47번지,튼튼동물병원
151,3210000,2003.9.6,서울특별시 서초구 반포동 1141번지 원빌딩 2층,펫스테이션 클리닉센터
152,3210000,2003.10.17,서울특별시 서초구 반포동 733-14  번지,두코동물병원
153,3210000,2009.6.17,"서울특별시 서초구 반포동 112-3번지 카리스빌딩 1,2층",한국스템셀동물메디컬센터
154,3010000,2004.5.14,서울특별시 중구 신당동 422-1번지 청화빌딩,차지우동물병원
155,3010000,2005.3.3,서울특별시 중구 신당동 422-1   번지 청화빌딩 지하1층,행복한둥지동물병원
156,3060000,2002.12.3,서울특별시 중랑구 중화동 207번지,로얄메디컬센터
157,3060000,2003.2.4,서울특별시 중랑구 망우동 490-7   번지,세진종합동물병원
158,3060000,2003.9.26,서울특별시 중랑구 신내동 648-143 번지,비비펫동물병원
159,3030000,2015.1.5,서울특별시 성동구 도선동 285-2번지 1층,SL동물병원
160,3140000,2001.4.4,서울특별시 양천구 신정동 1052-3번지,바우동물병원
161,3140000,2001.6.19,서울특별시 양천구 목동 905-22  번지 목동트윈빌딩(102호),황경택동물병원
162,3030000,2011.6.29,서울특별시 성동구 금호동1가 1764-1번지,금호동물병원
163,3110000,2016.5.9,서울특별시 은평구 역촌동 43-47번지,튼튼동물병원
164,3110000,2004.2.13,서울특별시 은평구 대조동 187-38번지 (1층),패미원동물병원
165,3110000,2004.2.18,서울특별시 은평구 갈현동 495-22  번지,에이스동물병원
166,3110000,2004.5.14,서울특별시 은평구 응암동 96-19번지,해오름동물병원
167,3110000,2004.10.25,서울특별시 은평구 녹번동 117-88번지,예스플러스 동물병원
168,3010000,1975.9.30,서울특별시 중구 신당동 370-58번지,문화동물병원
169,3210000,2003.2.26,서울특별시 서초구 서초동 1576-6번지 1층,24시열린동물병원
170,3210000,2003.5.2,서울특별시 서초구 잠원동 38-15번지 1층,한국수의과학연구소부설동물병원
171,3140000,1996.1.28,서울특별시 양천구 목동 506-7번지,대현동물병원
172,3140000,1997.1.10,서울특별시 양천구 목동 788-13  번지,애완동물병원
173,3110000,2004.11.4,서울특별시 은평구 대조동 179-16번지,은평동물병원(은평본원)
174,3110000,2005.3.3,서울특별시 은평구 불광동 309번지,연신내 동물병원
175,3110000,2005.3.29,서울특별시 은평구 역촌동 43-17번지,튼튼동물병원
176,3110000,2005.7.7,서울특별시 은평구 증산동 162-20  번지 상가 102호,멍이맘동물병원
177,3110000,2007.2.1,서울특별시 은평구 불광동 319-33번지 대흥빌라 101호,연신내동물병원
178,3140000,2001.8.10,서울특별시 양천구 목동 907-10번지 현대파리지앙 121호,목동동물병원
179,3140000,2001.12.20,서울특별시 양천구 신정동 117-37번지,슈슈애견동물병원
180,3140000,2002.5.2,서울특별시 양천구 목동 919-7번지 한국까르프 1층,닥터펫 동물병원
181,3210000,2012.3.26,서울특별시 서초구 양재동 215번지,이리온 for 몰리스
182,3210000,2003.6.19,서울특별시 서초구 잠원동 60-3   번지,잠원동물병원
183,3140000,1997.10.29,서울특별시 양천구 신정동 294-29번지,이솝동물병원
184,3140000,1998.5.16,서울특별시 양천구 목동 908-31번지 목동프라자 105,가나동물병원
185,3140000,1999.3.9,서울특별시 양천구 목동 752-1번지 극동상가 103,나우동물종합병원
186,3140000,2009.9.16,서울특별시 양천구 목동 919-0007번지,닥터펫 동물병원
187,3140000,2011.2.16,서울특별시 양천구 목동 919-7   번지 홈플러스 2층,닥터펫동물병원
188,3140000,2004.6.30,서울특별시 양천구 목동 515-1번지,행복한 동물병원
189,3140000,2004.8.2,서울특별시 양천구 목동 919-7   번지 한국까르푸 목동점 1층,덕터펫 동물병원
190,3110000,2011.4.5,서울특별시 은평구 대조동 231-0번지 101동 122호,사랑이가득한동물병원
191,3110000,2011.7.19,서울특별시 은평구 진관동 20-0번지 은평뉴타운상림마을 821동 101호,뉴타운동물병원
192,3110000,2011.9.15,서울특별시 은평구 응암동 90-1번지 이마트 8층,쿨펫동물병원 은평점
193,3110000,2011.11.3,서울특별시 은평구 대조동 240번지 NC백화점 8층,쿨펫 동물병원
194,3140000,2011.6.7,서울특별시 양천구 신정동 323번지 세림프라자 106호,하나동물병원
195,3140000,2003.2.19,서울특별시 양천구 신월동 116-14번지,다정종합동물병원
196,3140000,2003.4.14,서울특별시 양천구 신월동 446-4번지,햇살동물병원
197,3140000,2003.4.15,서울특별시 양천구 신정동 1052-3번지,바우동물병원
198,3140000,2003.4.22,서울특별시 양천구 목동 919-7   번지 한국까르프 1층,닥터펫 동물병원
199,3140000,2003.7.18,서울특별시 양천구 목동 919-7   번지 한국까르프 목동점 1층,닥터펫동물병원
200,3140000,2003.8.14,서울특별시 양천구 신정동 1267번지 뉴목동프라자 113호,하릅강아지 동물병원
201,3030000,2018.3.30,서울특별시 성동구 하왕십리동 1070 센트라스,다온동물병원
202,3210000,2004.2.7,서울특별시 서초구 서초동 1593-7번지 이오빌1505호,닥터캣연구원 동물병원
203,3210000,2004.3.3,서울특별시 서초구 반포동 733-14번지 1층,두코동물병원
204,3210000,2002.9.23,서울특별시 서초구 반포동 1050번지 J동 15호,My Friends 동물병원
205,3210000,2003.1.6,서울특별시 서초구 반포동 705-2번지 1층,STAR 동물종합병원
206,3210000,2012.7.27,서울특별시 서초구 방배동 3001-2번지 방배디오슈페리움1 B111호,야셀동물병원
207,3210000,2012.8.1,서울특별시 서초구 양재동 215번지 이마트 양재점 지하1층,이리온 for 몰리스
208,3030000,2020.10.24,서울특별시 성동구 금호동1가 132-18 1층,신당햇살동물병원
209,3210000,2003.8.13,서울특별시 서초구 반포동 1050번지 J동 15호,(주)펫프렌즈 반포동물병원
210,3210000,1998.10.22,서울특별시 서초구 서초동 1532-7   번지 1층,서울동물병원
211,3210000,1999.7.1,서울특별시 서초구 방배동 864-32번지 1층,에덴동물병원
212,3030000,2014.9.1,서울특별시 성동구 용답동 74-2,24시LC동물의료센터
213,3140000,2017.3.2,서울특별시 양천구 신정동 323번지 세림프라자 106호,하나동물병원
214,3210000,2010.10.25,서울특별시 서초구 서초동 1605-5   번지,넥스펫동물병원
215,3210000,2011.7.26,서울특별시 서초구 서초동 1315번지 진흥상가 102호,해치동물병원
216,3210000,2004.1.15,서울특별시 서초구 반포동 738-2   번지,21세기동물병원
217,3120000,2003.11.20,서울특별시 서대문구 홍은동 409-10  번지,예일동물병원
218,3120000,2004.2.18,서울특별시 서대문구 남가좌동 268-28  번지,모래내동물병원
219,3120000,2004.3.15,서울특별시 서대문구 홍제동 90-67  번지,러브펫 동물병원
220,3120000,2004.4.9,서울특별시 서대문구 북아현동 1006번지 경남아파트상가 110호,세란동물병원
221,3120000,2004.10.12,서울특별시 서대문구 남가좌동 268-28  번지,모래내동물병원
222,3210000,1999.12.28,서울특별시 서초구 서초동 1648-17번지 1층,우리들의동물병원
223,3140000,2015.2.2,"서울특별시 양천구 신정동 898-2번지 1,2층",홍익동물병원
224,3140000,2015.12.3,서울특별시 양천구 신정동 321-6 센트럴프라자 104호,공원옆동물병원
225,3140000,2016.10.25,서울특별시 양천구 목동 408-115,리베동물메디컬센터
226,3210000,2016.10.6,서울특별시 서초구 서초동 1605-5번지 서광빌딩 101호,다스림 양한방 동물병원
227,3210000,2005.1.28,서울특별시 서초구 잠원동 60-3번지 매일상가 223호,잠원동물병원
228,3210000,2005.9.1,서울특별시 서초구 반포동 1048번지 외 3필지 J동 15호,반포동물병원
229,3030000,2009.3.9,서울특별시 성동구 행당동 168-1번지 비트플렛스 2층(A-07호),쿨펫동물병원
230,3110000,2007.12.17,서울특별시 은평구 역촌동 43-47번지,튼튼동물병원
231,3110000,2008.3.31,서울특별시 은평구 신사동 24-59  번지,허브종합동물병원
232,3110000,2008.8.13,서울특별시 은평구 대조동 188-1   번지,드림펫동물병원
233,3110000,2008.11.26,서울특별시 은평구 증산동 162-20번지,이강신동물병원
234,3140000,2002.5.11,서울특별시 양천구 신월동 502-5번지,애니케어동물병원
235,3140000,2002.6.7,서울특별시 양천구 목동 405-280번지,메디펫종합 동물병원
236,3140000,2002.12.13,서울특별시 양천구 신정동 323번지 세림프라자 106호,하나 동물병원
237,3140000,2003.2.19,서울특별시 양천구 신정동 88-27번지,이지동물병원
238,3210000,2017.12.18,서울특별시 서초구 반포동 1-8번지 경남쇼핑센터,신세계동물병원
239,3110000,2015.7.7,서울특별시 은평구 역촌동 43-47번지 1층,튼튼동물병원
240,3110000,2015.9.16,서울특별시 은평구 역촌동 43-47번지 1층,튼튼동물병원
241,3110000,2009.1.30,서울특별시 은평구 진관동 5번지 629동 116호,한빛동물병원
242,3030000,2013.4.1,서울특별시 성동구 금호동4가 131번지,펫 365 동물병원
243,3010000,2013.9.25,서울특별시 중구 황학동 2545번지 롯데캐슬베네치아,웰니스 클리닉(청계천점)
244,3210000,2002.4.2,서울특별시 서초구 양재동 14-12번지 구민빌딩 2층,(주)아크리스동물병원
245,3210000,1984.1.9,서울특별시 서초구 방배동 796-1번지,이성환동물병원
246,3210000,1992.4.21,서울특별시 서초구 양재동 20-33번지,이강남동물병원
247,3110000,2009.4.2,서울특별시 은평구 대조동 240번지 2001아울렛 7층,쿨펫동물병원
248,3110000,2009.10.16,서울특별시 은평구 녹번동 117-88번지,예스동물병원
249,3110000,2009.11.26,서울특별시 은평구 응암동 90-1   번지 이마트 8층,펫프렌즈동물병원 은평
250,3110000,2010.5.18,서울특별시 은평구 진관동 81-0번지 은평뉴타운 우물골 252-B101,구파발동물병원
251,3210000,2018.4.9,서울특별시 서초구 방배동 871-3 동오빌딩,HELP 유기동물 의료센터
252,3210000,2018.4.24,서울특별시 서초구 우면동 725 네이처프라자 203호,햇살아래 동물병원
253,3210000,2004.5.28,서울특별시 서초구 서초동 1536-1번지 지상1층,엔터펫동물병원
254,3210000,2004.10.7,서울특별시 서초구 반포동 738-2번지 지상1층,21세기동물병원
255,3210000,2004.12.2,서울특별시 서초구 서초동 1690-2번지 지상1층,예스동물병원
256,3060000,2011.3.30,서울특별시 중랑구 신내동 537-3 103호,왈츠동물병원
257,3210000,2006.9.15,서울특별시 서초구 반포동 19-3   번지 BPC 101-4,쿨펫동물병원
258,3210000,2007.7.13,서울특별시 서초구 방배동 758-2번지 삼호상가 109호,한나동물병원
259,3030000,2013.4.15,서울특별시 성동구 금호동1가 132-18번지,신당햇살동물병원
260,3030000,2013.9.25,서울특별시 성동구 성수동2가 300-69번지,성동동물종합병원
261,3210000,2002.6.19,서울특별시 서초구 방배동 758-2번지 삼호상가 109호,삼호동물병원
262,3210000,2002.7.3,서울특별시 서초구 반포동 738-2번지 지상1층,21세기동물병원
263,3030000,2013.9.25,서울특별시 성동구 성수동2가 300-69번지,성동제일동물병원
264,3140000,2014.1.14,서울특별시 양천구 신정동 898-2번지,리베동물의료센터
265,3210000,2014.9.19,서울특별시 서초구 반포동 113-6번지,치료멍멍 동물의료센터
266,3110000,1995.11.18,서울특별시 은평구 대조동 223-13번지,연서동물병원
267,3210000,2008.3.20,서울특별시 서초구 서초동 1576-6번지 1층,열린동물병원
268,3210000,2008.4.22,서울특별시 서초구 반포동 938번지 외 3필지  M동 6호,주아동물병원
269,3210000,2002.8.26,서울특별시 서초구 반포동 58-3번지 장성빌딩 1층,엔터펫동물병원
270,3210000,2002.8.30,서울특별시 서초구 서초동 1487-1   번지 1층,동원동물병원
271,3210000,2010.9.3,"서울특별시 서초구 반포동 20-51번지 반포자이주구중심상가 102,108호",반포자이동물병원
272,3210000,2010.9.15,서울특별시 서초구 반포동 96-4번지,에이스동물병원
273,3210000,2003.11.13,서울특별시 서초구 서초동 1487-1번지 문화빌딩 101호,한강동물병원서초점
274,3210000,2003.12.15,서울특별시 서초구 방배동 442-3번지 대광빌딩 1층.2층,포포즈동물의료센터
275,3110000,2007.2.14,서울특별시 은평구 신사동 24-59  번지 경보빌딩,허브종합동물병원
276,3210000,2014.11.21,서울특별시 서초구 반포동 1165,반포한강동물병원
277,3210000,2014.11.24,서울특별시 서초구 방배동 796-1번지,헤이븐동물병원 방배서래점
278,3210000,2014.12.23,서울특별시 서초구 서초동 1532-7번지,아이비동물병원
279,3210000,2016.4.28,서울특별시 서초구 방배동 1024-4번지 덕산빌딩 105호,여울동물병원
280,3210000,2000.6.26,서울특별시 서초구 반포동 93-2번지 1층 가호,마이펫동물병원
281,3210000,2000.10.14,서울특별시 서초구 방배동 1031-7   번지 1층,노아동물병원
282,3110000,1997.1.20,서울특별시 은평구 신사동 335-7   번지,예종합동물
283,3110000,1999.1.21,서울특별시 은평구 응암동 111-15  번지,역촌동물병원
284,3140000,2005.4.8,서울특별시 양천구 목동 919-7   번지 한국까르푸 1층,닥터펫 동물병원
285,3140000,2005.7.26,서울특별시 양천구 목동 923-15  번지 동문굿모닝탑 상가 106호,다솜동물병원
286,3140000,2005.11.24,서울특별시 양천구 목동 919-7번지 한국까르푸 1층,Dr.Pet 동물병원
287,3110000,2007.3.21,서울특별시 은평구 대조동 231번지 삼성타운 101동 122호,사랑가득동물병원
288,3110000,2007.6.19,서울특별시 은평구 녹번동 141-61  번지,참조은동물병원
289,3110000,2007.6.27,서울특별시 은평구 대조동 240번지 2001 아울렛 7층,쿨펫동물병원
290,3110000,2007.11.15,서울특별시 은평구 대조동 187-14번지 2층,드림펫동물병원
291,3210000,2000.5.23,서울특별시 서초구 방배동 796-28번지,방배종합동물병원
292,3210000,2000.6.8,서울특별시 서초구 양재동 377-4   번지 1층,마리오동물병원
293,3140000,2006.2.16,서울특별시 양천구 신정동 151-20번지,펫서비스동물병원
294,3140000,2012.7.20,서울특별시 양천구 신정동 898-2번지,리베동물 의료센터
295,3110000,2010.5.19,서울특별시 은평구 응암동 90-1번지 이마트 8층,펫프렌즈동물병원 은평
296,3060000,2016.11.2,서울특별시 중랑구 중화동 207번지,동물수술전문센터
297,3140000,2013.1.29,"서울특별시 양천구 신정동 1267번지 목동뉴프라자 112,113호",푸른들동물병원
298,3140000,2013.4.5,서울특별시 양천구 신월동 116-14번지,가스펠동물병원
299,3140000,2013.5.30,"서울특별시 양천구 목동 783-2번지 1,2층",하니동물병원
